A1,A2,A3,A4,A5,A6,A7,A8,class
0,0,0,0,0,0,0,0,B
0,1,1,1,1,1,1,1,B
0,1,0,0,0,1,0,0,B
0,0,1,1,1,0,1,1,B
0,1,0,0,1,1,1,0,B
0,0,1,0,1,0,0,1,B
0,1,0,1,1,1,1,0,B
0,1,1,0,0,0,0,1,B
0,1,0,1,0,1,1,0,B
0,0,1,0,0,1,0,1,B
0,1,0,1,0,0,1,0,B
0,1,1,0,1,1,0,1,B
0,0,1,1,1,0,1,0,B
0,1,0,0,1,1,0,1,B
0,1,1,1,0,0,1,0,B
0,0,0,0,1,1,0,1,B
0,0,1,0,0,1,1,0,B
0,0,0,1,1,0,0,1,B
0,1,1,0,0,1,1,1,B
0,0,0,1,1,0,0,0,B
0,1,1,0,0,1,1,0,B
0,0,0,0,1,0,0,1,B
0,1,1,0,0,1,1,0,B
0,0,0,1,1,0,1,1,B
0,1,0,1,0,1,0,0,B
0,0,0,1,1,1,1,1,B
0,1,0,0,0,0,0,0,B
0,0,1,0,1,1,1,1,B
0,1,0,0,0,0,0,0,B
0,0,1,1,1,1,1,1,B
0,1,0,0,0,0,0,0,B
0,0,1,1,1,1,1,1,B
0,1,0,0,0,0,0,0,B
0,0,1,1,1,1,1,1,B
0,1,0,0,0,0,0,0,B
0,0,1,1,0,1,1,1,B
0,0,0,0,0,1,1,1,B
0,0,1,1,0,0,1,1,B
0,0,0,0,1,0,0,1,B
0,1,1,1,0,0,0,0,B
0,0,0,0,0,1,0,0,B
0,1,1,1,1,1,1,0,B
0,0,0,0,0,1,0,0,B
0,1,1,1,1,0,1,0,B
0,1,0,0,0,1,0,0,B
0,1,1,1,1,0,1,0,B
0,1,0,1,0,1,0,1,B
0,1,1,1,0,0,1,1,B
0,1,0,1,1,1,0,1,B
0,0,1,0,0,0,1,1,B
1,0,0,0,0,0,0,0,A
1,1,1,1,1,1,1,1,A
1,1,0,0,0,1,0,0,A
1,0,1,1,1,0,1,1,A
1,1,0,0,1,1,1,0,A
1,0,1,0,1,0,0,1,A
1,1,0,1,1,1,1,0,A
1,1,1,0,0,0,0,1,A
1,1,0,1,0,1,1,0,A
1,0,1,0,0,1,0,1,A
1,1,0,1,0,0,1,0,A
1,1,1,0,1,1,0,1,A
1,0,1,1,1,0,1,0,A
1,1,0,0,1,1,0,1,A
1,1,1,1,0,0,1,0,A
1,0,0,0,1,1,0,1,A
1,0,1,0,0,1,1,0,A
1,0,0,1,1,0,0,1,A
1,1,1,0,0,1,1,1,A
1,0,0,1,1,0,0,0,A
1,1,1,0,0,1,1,0,A
1,0,0,0,1,0,0,1,A
1,1,1,0,0,1,1,0,A
1,0,0,1,1,0,1,1,A
1,1,0,1,0,1,0,0,A
1,0,0,1,1,1,1,1,A
1,1,0,0,0,0,0,0,A
1,0,1,0,1,1,1,1,A
1,1,0,0,0,0,0,0,A
1,0,1,1,1,1,1,1,A
1,1,0,0,0,0,0,0,A
1,0,1,1,1,1,1,1,A
1,1,0,0,0,0,0,0,A
1,0,1,1,1,1,1,1,A
1,1,0,0,0,0,0,0,A
1,0,1,1,0,1,1,1,A
1,0,0,0,0,1,1,1,A
1,0,1,1,0,0,1,1,A
1,0,0,0,1,0,0,1,A
1,1,1,1,0,0,0,0,A
1,0,0,0,0,1,0,0,A
1,1,1,1,1,1,1,0,A
1,0,0,0,0,1,0,0,A
1,1,1,1,1,0,1,0,A
1,1,0,0,0,1,0,0,A
1,1,1,1,1,0,1,0,A
1,1,0,1,0,1,0,1,A
1,1,1,1,0,0,1,1,A
1,1,0,1,1,1,0,1,A
1,0,1,0,0,0,1,1,A
